"Symbol","Date","Open","High","Low","Close","Volume"
"  HUBC","  2019-10-01","  71.00","  72.19","  70.76","  71.66","  538500"
"  HUBC","  2019-09-30","  71.00","  72.37","  70.50","  70.75","  1486500"
"  HUBC","  2019-09-27","  69.47","  71.79","  68.98","  70.73","  1536500"
"  HUBC","  2019-09-26","  70.51","  70.95","  68.66","  68.90","  1670500"
"  HUBC","  2019-09-25","  72.33","  72.69","  70.16","  70.61","  1436000"
"  HUBC","  2019-09-24","  70.34","  73.55","  70.30","  72.75","  2086000"
"  HUBC","  2019-09-23","  73.00","  74.00","  72.75","  73.20","  436000"
"  HUBC","  2019-09-20","  73.62","  73.75","  72.69","  73.38","  1033000"
"  HUBC","  2019-09-19","  69.50","  73.31","  69.50","  73.12","  2032000"
"  HUBC","  2019-09-18","  70.90","  71.00","  69.69","  69.83","  840500"
"  HUBC","  2019-09-17","  71.98","  72.19","  70.00","  70.52","  766500"
"  HUBC","  2019-09-16","  75.00","  75.00","  69.80","  71.34","  2021000"
"  HUBC","  2019-09-13","  74.16","  74.90","  72.00","  72.51","  2965500"
"  HUBC","  2019-09-12","  73.40","  75.75","  70.50","  74.16","  10331500"
"  HUBC","  2019-09-11","  70.01","  73.33","  70.00","  72.91","  4608500"
"  HUBC","  2019-09-06","  67.50","  70.48","  66.00","  69.84","  1390500"
"  HUBC","  2019-09-05","  65.94","  68.34","  65.50","  67.62","  1965500"
"  HUBC","  2019-09-04","  64.80","  66.94","  63.70","  65.48","  2611500"
"  HUBC","  2019-09-03","  66.01","  66.50","  64.50","  64.80","  787500"
"  HUBC","  2019-09-02","  67.50","  67.50","  66.00","  66.45","  970500"
"  HUBC","  2019-08-30","  68.40","  68.50","  65.20","  65.73","  1243500"
"  HUBC","  2019-08-29","  69.40","  69.40","  67.50","  68.41","  458000"
"  HUBC","  2019-08-28","  69.98","  71.00","  68.76","  69.29","  1168500"
"  HUBC","  2019-08-27","  66.25","  69.37","  64.75","  69.09","  1252000"
"  HUBC","  2019-08-26","  69.00","  69.00","  65.50","  66.13","  879500"
"  HUBC","  2019-08-23","  70.50","  71.25","  67.73","  68.33","  1102000"
"  HUBC","  2019-08-22","  71.87","  72.33","  70.80","  71.29","  2766500"
"  HUBC","  2019-08-21","  68.90","  68.90","  68.09","  68.90","  1131500"
"  HUBC","  2019-08-20","  62.65","  65.62","  62.65","  65.62","  1686500"
"  HUBC","  2019-08-19","  59.02","  62.75","  59.02","  62.50","  1485000"
"  HUBC","  2019-08-16","  62.25","  63.50","  60.36","  60.70","  1789500"
"  HUBC","  2019-08-09","  63.99","  64.50","  62.61","  62.75","  1359000"
"  HUBC","  2019-08-08","  63.93","  63.93","  62.11","  63.02","  2658500"
"  HUBC","  2019-08-07","  67.12","  67.12","  64.75","  65.08","  1302500"
"  HUBC","  2019-08-06","  68.00","  68.98","  67.20","  67.52","  2421000"
"  HUBC","  2019-08-05","  70.48","  70.48","  67.50","  68.76","  188000"
"  HUBC","  2019-08-02","  69.65","  70.90","  69.09","  70.54","  336500"
"  HUBC","  2019-08-01","  70.00","  71.00","  69.59","  69.98","  216000"
"  HUBC","  2019-07-31","  70.00","  70.94","  69.47","  70.36","  678000"
"  HUBC","  2019-07-30","  69.01","  71.00","  69.00","  70.12","  286500"
"  HUBC","  2019-07-29","  71.98","  71.98","  69.00","  69.87","  554500"
"  HUBC","  2019-07-26","  72.50","  72.94","  71.48","  71.76","  267000"
"  HUBC","  2019-07-25","  73.84","  73.84","  71.51","  73.23","  498500"
"  HUBC","  2019-07-24","  73.00","  73.00","  71.50","  72.00","  1124500"
"  HUBC","  2019-07-23","  74.90","  75.01","  73.20","  73.66","  550500"
"  HUBC","  2019-07-22","  75.80","  75.80","  73.69","  74.01","  273500"
"  HUBC","  2019-07-19","  75.01","  75.01","  72.50","  74.05","  643500"
"  HUBC","  2019-07-18","  76.01","  77.00","  74.80","  75.04","  1992500"
"  HUBC","  2019-07-17","  76.44","  77.00","  75.98","  76.18","  640500"
"  HUBC","  2019-07-16","  74.00","  76.98","  72.65","  75.16","  1281500"
"  HUBC","  2019-07-15","  76.50","  76.50","  74.75","  74.98","  619500"
"  HUBC","  2019-07-12","  77.75","  78.44","  77.40","  77.48","  344500"
"  HUBC","  2019-07-11","  78.09","  78.69","  77.16","  78.23","  2212500"
"  HUBC","  2019-07-10","  78.51","  78.90","  78.00","  78.05","  169000"
"  HUBC","  2019-07-09","  79.90","  80.00","  78.65","  79.00","  1838000"
"  HUBC","  2019-07-08","  80.58","  80.80","  78.00","  79.11","  2555500"
"  HUBC","  2019-07-05","  81.01","  81.01","  80.00","  80.16","  517000"
"  HUBC","  2019-07-04","  80.02","  81.48","  79.80","  81.00","  538500"
"  HUBC","  2019-07-03","  79.01","  80.51","  78.19","  79.87","  812500"
"  HUBC","  2019-07-02","  78.51","  80.00","  78.01","  79.38","  1047000"
"  HUBC","  2019-07-01","  80.00","  80.00","  78.00","  78.91","  198000"
"  HUBC","  2019-06-28","  79.01","  79.98","  78.00","  78.75","  488500"
"  HUBC","  2019-06-27","  80.15","  81.59","  78.11","  79.01","  1564500"
"  HUBC","  2019-06-26","  79.94","  82.87","  78.50","  80.47","  1113500"
"  HUBC","  2019-06-25","  80.55","  81.00","  79.00","  79.43","  227500"
"  HUBC","  2019-06-24","  81.65","  84.00","  79.01","  80.91","  1469000"
"  HUBC","  2019-06-21","  77.80","  81.54","  77.80","  81.51","  3703500"
"  HUBC","  2019-06-20","  76.98","  78.25","  76.98","  77.66","  722000"
"  HUBC","  2019-06-19","  78.01","  78.00","  75.69","  76.72","  629500"
"  HUBC","  2019-06-18","  77.00","  78.80","  76.50","  77.15","  586500"
"  HUBC","  2019-06-17","  77.75","  77.98","  76.98","  77.25","  403500"
"  HUBC","  2019-06-14","  77.55","  78.94","  76.55","  77.34","  224000"
"  HUBC","  2019-06-13","  77.00","  78.98","  77.00","  77.75","  851000"
"  HUBC","  2019-06-12","  77.23","  78.05","  74.55","  75.59","  1450000"
"  HUBC","  2019-06-11","  76.50","  78.50","  76.48","  77.23","  542000"
"  HUBC","  2019-06-10","  76.11","  82.00","  76.05","  77.25","  618500"
"  HUBC","  2019-06-03","  79.80","  79.80","  78.00","  78.91","  380000"
"  HUBC","  2019-05-30","  83.00","  85.20","  78.00","  79.55","  4062500"
"  HUBC","  2019-05-29","  78.59","  81.16","  78.59","  81.16","  2520500"
"  HUBC","  2019-05-28","  78.55","  78.55","  76.62","  77.30","  2627500"
"  HUBC","  2019-05-27","  78.02","  79.48","  77.51","  78.55","  987500"
"  HUBC","  2019-05-24","  79.48","  79.50","  77.00","  79.11","  1597500"
"  HUBC","  2019-05-23","  79.00","  81.88","  77.76","  79.13","  2418500"
"  HUBC","  2019-05-22","  75.44","  78.44","  74.98","  78.44","  1072500"
"  HUBC","  2019-05-21","  74.00","  75.01","  73.80","  74.70","  1458000"
"  HUBC","  2019-05-20","  75.01","  75.01","  72.00","  74.33","  1186000"
"  HUBC","  2019-05-17","  75.98","  75.98","  73.25","  74.27","  1273000"
"  HUBC","  2019-05-16","  74.50","  76.00","  72.48","  75.51","  559000"
"  HUBC","  2019-05-15","  73.00","  74.44","  72.80","  74.12","  841000"
"  HUBC","  2019-05-14","  71.00","  72.50","  70.50","  71.98","  786000"
"  HUBC","  2019-05-13","  70.50","  72.00","  69.80","  70.61","  2649000"
"  HUBC","  2019-05-10","  70.00","  70.15","  69.55","  70.01","  377500"
"  HUBC","  2019-05-09","  68.02","  70.25","  68.02","  69.88","  681000"
"  HUBC","  2019-05-08","  69.30","  69.30","  68.25","  68.83","  324000"
"  HUBC","  2019-05-07","  70.00","  70.00","  69.09","  69.51","  316500"
"  HUBC","  2019-05-06","  71.19","  71.23","  70.00","  70.26","  348500"
"  HUBC","  2019-05-03","  72.00","  73.00","  71.55","  71.90","  431500"
"  HUBC","  2019-05-02","  73.00","  74.48","  72.00","  72.26","  235000"
"  HUBC","  2019-04-30","  75.59","  76.69","  73.50","  73.91","  767500"
"  HUBC","  2019-04-29","  75.16","  76.25","  75.15","  75.51","  524500"
"  HUBC","  2019-04-26","  75.00","  75.87","  75.00","  75.56","  114500"
"  HUBC","  2019-04-25","  76.98","  77.87","  73.90","  74.80","  615500"
"  HUBC","  2019-04-24","  74.09","  77.00","  74.09","  76.41","  1029500"
"  HUBC","  2019-04-23","  74.09","  75.00","  71.55","  74.51","  1154000"
"  HUBC","  2019-04-22","  76.00","  76.38","  75.00","  75.30","  399500"
"  HUBC","  2019-04-19","  74.09","  76.98","  74.00","  76.00","  1386000"
"  HUBC","  2019-04-18","  75.75","  77.84","  75.75","  77.51","  620500"
"  HUBC","  2019-04-17","  78.00","  78.50","  75.84","  76.01","  407000"
"  HUBC","  2019-04-16","  77.98","  78.19","  77.19","  77.94","  361000"
"  HUBC","  2019-04-15","  77.09","  78.00","  76.98","  77.55","  427500"
"  HUBC","  2019-04-12","  77.30","  79.50","  74.00","  77.12","  843000"
"  HUBC","  2019-04-11","  76.00","  78.00","  76.00","  77.87","  873500"
"  HUBC","  2019-04-10","  76.52","  77.50","  75.62","  76.75","  318000"
"  HUBC","  2019-04-09","  73.98","  77.00","  73.98","  76.84","  799500"
"  HUBC","  2019-04-08","  73.00","  74.00","  72.98","  73.75","  1295000"
"  HUBC","  2019-04-05","  72.83","  73.50","  72.15","  72.91","  1043500"
"  HUBC","  2019-04-04","  75.40","  75.90","  72.19","  72.84","  687000"
"  HUBC","  2019-04-03","  75.90","  77.05","  75.01","  75.55","  1376000"
"  HUBC","  2019-04-02","  79.00","  80.83","  75.50","  75.83","  5912500"
"  HUBC","  2019-04-01","  73.09","  76.98","  72.51","  76.98","  1568500"
"  HUBC","  2019-03-29","  78.00","  78.00","  72.90","  73.33","  2477500"
"  HUBC","  2019-03-28","  76.00","  76.00","  75.00","  75.13","  1396500"
"  HUBC","  2019-03-27","  75.59","  76.48","  75.50","  75.76","  1172500"
"  HUBC","  2019-03-26","  76.00","  76.00","  75.50","  75.59","  229500"
"  HUBC","  2019-03-25","  76.05","  76.50","  74.98","  75.63","  208500"
"  HUBC","  2019-03-22","  78.98","  78.98","  74.51","  76.05","  2867000"
"  HUBC","  2019-03-21","  79.00","  79.90","  77.59","  77.94","  4130500"
"  HUBC","  2019-03-20","  81.90","  81.90","  79.31","  79.62","  1331000"
"  HUBC","  2019-03-19","  84.00","  84.00","  81.75","  81.98","  267000"
"  HUBC","  2019-03-18","  84.00","  84.98","  83.50","  83.97","  685000"
"  HUBC","  2019-03-15","  82.72","  83.00","  82.00","  82.20","  432000"
"  HUBC","  2019-03-14","  83.51","  84.00","  83.19","  83.30","  98500"
"  HUBC","  2019-03-13","  82.80","  84.50","  82.80","  84.01","  556500"
"  HUBC","  2019-03-12","  83.09","  83.80","  82.01","  82.98","  400000"
"  HUBC","  2019-03-11","  84.00","  84.00","  82.50","  83.01","  688500"
"  HUBC","  2019-03-08","  85.09","  85.09","  83.01","  83.26","  596500"
"  HUBC","  2019-03-07","  86.30","  86.30","  84.90","  85.02","  230500"
"  HUBC","  2019-03-06","  87.00","  87.59","  86.00","  86.73","  365500"
"  HUBC","  2019-03-05","  88.37","  88.38","  86.26","  86.98","  137500"
"  HUBC","  2019-03-04","  87.77","  88.44","  87.00","  87.29","  416000"
"  HUBC","  2019-03-01","  86.80","  88.98","  86.80","  87.50","  611500"
"  HUBC","  2019-02-28","  87.25","  87.41","  86.50","  86.86","  693000"
"  HUBC","  2019-02-27","  86.90","  89.00","  83.27","  87.41","  1029500"
"  HUBC","  2019-02-26","  86.51","  88.25","  86.05","  87.26","  469500"
"  HUBC","  2019-02-25","  88.01","  88.25","  87.19","  87.37","  277500"
"  HUBC","  2019-02-22","  87.55","  89.19","  86.50","  88.98","  1169500"
"  HUBC","  2019-02-21","  91.52","  92.00","  87.47","  88.22","  3642000"
"  HUBC","  2019-02-20","  91.00","  92.90","  90.59","  92.06","  1516500"
"  HUBC","  2019-02-19","  91.26","  91.90","  91.26","  91.63","  234500"
"  HUBC","  2019-02-18","  92.50","  92.50","  90.50","  91.94","  663500"
"  HUBC","  2019-02-15","  93.00","  93.33","  92.19","  92.48","  798500"
"  HUBC","  2019-02-14","  93.11","  93.50","  92.84","  93.38","  163000"
"  HUBC","  2019-02-13","  93.98","  94.25","  93.75","  93.77","  63500"
"  HUBC","  2019-02-12","  93.01","  94.94","  93.01","  93.98","  294500"
"  HUBC","  2019-02-11","  93.00","  93.50","  92.80","  93.23","  416500"
"  HUBC","  2019-02-08","  94.02","  94.02","  92.48","  92.66","  2446000"
"  HUBC","  2019-02-07","  94.59","  94.80","  93.51","  94.37","  228000"
"  HUBC","  2019-02-06","  94.40","  94.94","  93.76","  94.86","  944500"
"  HUBC","  2019-02-04","  93.00","  94.59","  93.00","  94.44","  734000"
"  HUBC","  2019-02-01","  93.01","  93.50","  92.70","  93.12","  627000"
"  HUBC","  2019-01-31","  93.00","  93.50","  92.55","  93.01","  252500"
"  HUBC","  2019-01-30","  93.05","  93.90","  92.55","  92.98","  272000"
"  HUBC","  2019-01-29","  92.51","  93.59","  91.98","  93.41","  2255000"
"  HUBC","  2019-01-28","  92.90","  93.00","  92.34","  92.69","  390500"
"  HUBC","  2019-01-25","  92.50","  93.00","  90.00","  92.54","  1690500"
"  HUBC","  2019-01-24","  92.94","  92.94","  90.75","  92.01","  244000"
"  HUBC","  2019-01-23","  91.48","  92.50","  91.48","  91.98","  732000"
"  HUBC","  2019-01-22","  89.37","  92.00","  89.37","  90.94","  702000"
"  HUBC","  2019-01-21","  89.01","  90.48","  88.97","  89.37","  1167500"
"  HUBC","  2019-01-18","  88.05","  89.76","  87.90","  89.33","  336500"
"  HUBC","  2019-01-17","  88.68","  89.50","  87.98","  88.83","  1371500"
"  HUBC","  2019-01-16","  90.00","  90.00","  88.09","  88.68","  104500"
"  HUBC","  2019-01-15","  89.51","  90.98","  89.50","  89.93","  387500"
"  HUBC","  2019-01-14","  88.98","  90.00","  88.98","  89.86","  323000"
"  HUBC","  2019-01-11","  89.80","  90.00","  88.00","  88.79","  1733000"
"  HUBC","  2019-01-10","  90.16","  90.75","  89.34","  90.00","  878500"
"  HUBC","  2019-01-09","  91.00","  91.00","  90.01","  90.70","  76000"
"  HUBC","  2019-01-08","  89.41","  91.25","  89.41","  91.06","  2049500"
"  HUBC","  2019-01-07","  86.00","  89.79","  86.00","  89.41","  871500"
"  HUBC","  2019-01-04","  86.75","  87.65","  84.55","  85.59","  414500"
"  HUBC","  2019-01-03","  88.00","  88.90","  85.80","  86.23","  303500"
"  HUBC","  2019-01-02","  86.80","  89.00","  86.50","  88.00","  506000"
"  HUBC","  2019-01-01","  86.50","  88.00","  86.50","  87.63","  333000"
"  HUBC","  2018-12-31","  85.87","  85.87","  84.00","  85.79","  970500"
"  HUBC","  2018-12-28","  87.94","  88.94","  85.00","  85.87","  1089000"
"  HUBC","  2018-12-27","  87.97","  89.00","  87.09","  87.94","  260500"
"  HUBC","  2018-12-26","  89.01","  90.00","  87.29","  87.97","  644500"
"  HUBC","  2018-12-24","  89.55","  89.55","  87.00","  89.01","  557500"
"  HUBC","  2018-12-21","  89.69","  91.00","  88.94","  89.55","  1780500"
"  HUBC","  2018-12-20","  90.01","  90.15","  88.00","  89.69","  850000"
"  HUBC","  2018-12-19","  89.09","  90.50","  88.97","  90.01","  1082000"
"  HUBC","  2018-12-18","  88.98","  89.75","  86.30","  89.09","  543000"
"  HUBC","  2018-12-17","  89.55","  89.50","  88.00","  88.98","  70500"
"  HUBC","  2018-12-14","  87.56","  90.00","  87.98","  89.55","  705000"
"  HUBC","  2018-12-13","  89.34","  89.19","  86.00","  87.56","  725000"
"  HUBC","  2018-12-12","  89.01","  89.90","  87.55","  89.34","  3352000"
"  HUBC","  2018-12-11","  91.01","  90.80","  88.52","  89.01","  951000"
"  HUBC","  2018-12-10","  90.19","  92.00","  90.50","  91.01","  270000"
"  HUBC","  2018-12-07","  90.75","  90.50","  87.98","  90.19","  756000"
"  HUBC","  2018-12-06","  93.01","  94.00","  88.59","  90.75","  3547500"
"  HUBC","  2018-12-05","  94.51","  94.01","  92.01","  93.01","  368500"
"  HUBC","  2018-12-04","  90.55","  95.06","  90.59","  94.51","  2381000"
"  HUBC","  2018-12-03","  94.76","  93.02","  90.04","  90.55","  552500"
"  HUBC","  2018-11-30","  94.94","  95.73","  93.19","  94.76","  2795000"
"  HUBC","  2018-11-29","  95.00","  96.90","  94.19","  94.94","  476500"
"  HUBC","  2018-11-28","  95.44","  100.20","  94.75","  95.00","  1023000"
"  HUBC","  2018-11-27","  95.65","  95.44","  94.05","  95.44","  587000"
"  HUBC","  2018-11-26","  95.31","  96.00","  95.38","  95.65","  206000"
"  HUBC","  2018-11-23","  95.15","  95.73","  94.19","  95.31","  295500"
"  HUBC","  2018-11-22","  94.40","  95.50","  94.01","  95.15","  641000"
"  HUBC","  2018-11-20","  93.43","  95.25","  92.69","  94.40","  820000"
"  HUBC","  2018-11-19","  95.38","  95.50","  93.09","  93.43","  619000"
"  HUBC","  2018-11-16","  94.05","  95.98","  94.12","  95.38","  2277500"
"  HUBC","  2018-11-15","  93.83","  94.98","  93.00","  94.05","  742500"
"  HUBC","  2018-11-14","  92.62","  94.01","  92.00","  93.83","  444000"
"  HUBC","  2018-11-13","  93.02","  93.50","  89.19","  92.62","  386500"
"  HUBC","  2018-11-12","  93.94","  94.00","  92.75","  93.02","  887500"
"  HUBC","  2018-11-09","  94.97","  95.01","  93.26","  93.94","  1269000"
"  HUBC","  2018-11-08","  93.94","  95.00","  93.65","  94.97","  431000"
"  HUBC","  2018-11-07","  93.91","  94.80","  93.09","  93.94","  761500"
"  HUBC","  2018-11-06","  94.47","  94.90","  93.25","  93.91","  645500"
"  HUBC","  2018-11-05","  95.36","  95.05","  92.75","  94.47","  534500"
"  HUBC","  2018-11-02","  94.00","  96.00","  93.20","  95.36","  3376000"
"  HUBC","  2018-11-01","  92.54","  94.00","  92.50","  94.00","  1535000"
"  HUBC","  2018-10-31","  93.23","  93.44","  92.00","  92.54","  416000"
"  HUBC","  2018-10-30","  90.65","  93.50","  90.00","  93.23","  2181000"
"  HUBC","  2018-10-29","  87.23","  91.00","  88.19","  90.65","  2473500"
"  HUBC","  2018-10-26","  89.47","  88.90","  86.59","  87.23","  1941000"
"  HUBC","  2018-10-25","  87.93","  90.90","  86.00","  89.47","  1423000"
"  HUBC","  2018-10-24","  83.77","  87.95","  86.50","  87.93","  1853000"
"  HUBC","  2018-10-23","  83.76","  84.50","  82.65","  83.77","  690500"
"  HUBC","  2018-10-22","  84.00","  85.98","  83.51","  83.76","  150000"
"  HUBC","  2018-10-19","  83.54","  85.00","  82.34","  84.00","  674000"
"  HUBC","  2018-10-18","  82.66","  84.09","  81.51","  83.54","  1421000"
"  HUBC","  2018-10-17","  80.36","  82.84","  81.00","  82.66","  945500"
"  HUBC","  2018-10-16","  81.31","  81.98","  79.91","  80.36","  667000"
"  HUBC","  2018-10-15","  82.55","  84.00","  78.44","  81.31","  790000"
"  HUBC","  2018-10-12","  86.55","  85.02","  82.23","  82.55","  934000"
"  HUBC","  2018-10-11","  87.66","  88.00","  85.75","  86.55","  220500"
"  HUBC","  2018-10-10","  87.26","  88.48","  86.00","  87.66","  1454500"
"  HUBC","  2018-10-09","  84.43","  88.00","  84.25","  87.26","  2214500"
"  HUBC","  2018-10-08","  87.02","  87.50","  83.00","  84.43","  3041500"
"  HUBC","  2018-10-05","  87.41","  87.50","  86.98","  87.02","  541000"
"  HUBC","  2018-10-04","  87.91","  87.94","  86.01","  87.41","  387000"
"  HUBC","  2018-10-03","  87.62","  89.23","  87.84","  87.91","  180500"
"  HUBC","  2018-10-02","  86.37","  88.61","  86.30","  87.62","  903500"
"  HUBC","  2018-10-01","  87.47","  87.40","  85.62","  86.37","  618000"
"  HUBC","  2018-09-28","  88.69","  89.25","  86.87","  87.47","  412500"
"  HUBC","  2018-09-27","  88.69","  89.98","  87.00","  88.69","  362500"
"  HUBC","  2018-09-26","  88.59","  90.59","  87.50","  88.69","  231000"
"  HUBC","  2018-09-25","  90.87","  93.48","  91.00","  91.40","  482000"
"  HUBC","  2018-09-24","  91.69","  93.50","  90.50","  90.87","  427500"
"  HUBC","  2018-09-19","  90.94","  92.00","  90.70","  91.69","  649000"
"  HUBC","  2018-09-18","  90.26","  92.00","  90.00","  90.94","  360000"
"  HUBC","  2018-09-17","  90.86","  91.30","  89.55","  90.26","  128500"
"  HUBC","  2018-09-14","  92.06","  92.00","  90.50","  90.86","  89500"
"  HUBC","  2018-09-13","  90.58","  92.50","  90.00","  92.06","  261000"
"  HUBC","  2018-09-12","  91.26","  91.00","  89.00","  90.58","  196500"
"  HUBC","  2018-09-11","  88.86","  92.08","  90.00","  91.26","  358500"
"  HUBC","  2018-09-10","  89.62","  89.69","  88.04","  88.86","  365000"
"  HUBC","  2018-09-07","  90.37","  91.98","  89.50","  89.62","  182500"
"  HUBC","  2018-09-06","  91.76","  91.84","  90.00","  90.37","  174500"
"  HUBC","  2018-09-05","  92.55","  93.00","  91.01","  91.76","  68000"
"  HUBC","  2018-09-04","  91.98","  92.91","  91.98","  92.55","  66500"
"  HUBC","  2018-09-03","  92.37","  92.06","  89.00","  91.98","  426000"
"  HUBC","  2018-08-31","  94.47","  95.00","  91.65","  92.37","  624500"
"  HUBC","  2018-08-30","  94.84","  95.05","  93.20","  94.47","  340500"
"  HUBC","  2018-08-29","  96.25","  96.09","  94.51","  94.84","  331000"
"  HUBC","  2018-08-28","  96.73","  96.69","  96.00","  96.25","  34000"
"  HUBC","  2018-08-27","  97.30","  97.00","  96.26","  96.73","  131000"
"  HUBC","  2018-08-24","  96.48","  98.00","  96.00","  97.30","  98500"
"  HUBC","  2018-08-20","  96.38","  97.50","  96.38","  96.48","  1244500"
"  HUBC","  2018-08-17","  95.75","  97.40","  95.75","  96.38","  481000"
"  HUBC","  2018-08-16","  94.97","  97.50","  94.00","  95.75","  577000"
"  HUBC","  2018-08-15","  96.00","  97.00","  94.50","  94.97","  169500"
"  HUBC","  2018-08-13","  96.73","  97.50","  95.97","  96.00","  602500"
"  HUBC","  2018-08-10","  98.12","  98.19","  96.40","  96.73","  979500"
"  HUBC","  2018-08-09","  96.79","  98.50","  96.70","  98.12","  835500"
"  HUBC","  2018-08-08","  97.27","  97.50","  96.59","  96.79","  252500"
"  HUBC","  2018-08-07","  98.08","  97.55","  96.62","  97.27","  240000"
